x,y
0,-1.104477e-02
1.010101e-02,5.106294e-02
2.020202e-02,6.855498e-02
3.030303e-02,6.846280e-02
4.040404e-02,-1.055838e-03
5.050505e-02,4.147604e-02
6.060606e-02,-2.230223e-02
7.070707e-02,5.883926e-02
8.080808e-02,2.014597e-02
9.090909e-02,1.261116e-02
1.010101e-01,3.504922e-02
1.111111e-01,-2.258155e-02
1.212121e-01,5.108114e-02
1.313131e-01,-6.483180e-02
1.414141e-01,-5.350688e-02
1.515152e-01,-1.544725e-02
1.616162e-01,-6.481816e-02
1.717172e-01,4.040522e-02
1.818182e-01,-1.454211e-02
1.919192e-01,-1.078719e-03
2.020202e-01,-1.003922e-02
2.121212e-01,2.707427e-02
2.222222e-01,-5.255117e-02
2.323232e-01,1.757717e-02
2.424242e-01,2.202925e-02
2.525253e-01,1.114452e-01
2.626263e-01,1.486911e-01
2.727273e-01,3.641735e-01
2.828283e-01,1.966999e-01
2.929293e-01,7.950645e-02
3.030303e-01,4.722599e-03
3.131313e-01,-5.379730e-02
3.232323e-01,-3.665928e-02
3.333333e-01,5.864558e-02
3.434343e-01,3.297347e-02
3.535354e-01,-1.519793e-02
3.636364e-01,-6.892398e-02
3.737374e-01,7.120154e-02
3.838384e-01,2.767905e-02
3.939394e-01,-8.324911e-03
4.040404e-01,1.276232e-01
4.141414e-01,3.444014e-01
4.242424e-01,4.403834e-01
4.343434e-01,6.994471e-01
4.444444e-01,9.575001e-01
4.545455e-01,8.752953e-01
4.646465e-01,6.852977e-01
4.747475e-01,5.709953e-01
4.848485e-01,3.116920e-01
4.949495e-01,1.205997e-01
5.050505e-01,-5.251177e-02
5.151515e-01,-2.437980e-01
5.252525e-01,-5.202506e-01
5.353535e-01,-7.134546e-01
5.454545e-01,-9.123184e-01
5.555556e-01,-9.038679e-01
5.656566e-01,-6.352660e-01
5.757576e-01,-5.087270e-01
5.858586e-01,-2.910307e-01
5.959596e-01,-7.984966e-02
6.060606e-01,-2.290805e-02
6.161616e-01,7.243820e-02
6.262626e-01,2.668054e-02
6.363636e-01,-4.659025e-02
6.464646e-01,-3.818666e-02
6.565657e-01,-1.947517e-02
6.666667e-01,1.215855e-01
6.767677e-01,2.200177e-01
6.868687e-01,2.094710e-01
6.969697e-01,2.061127e-01
7.070707e-01,2.088264e-01
7.171717e-01,2.019830e-01
7.272727e-01,7.338305e-02
7.373737e-01,1.681324e-02
7.474747e-01,3.457873e-02
7.575758e-01,5.786623e-02
7.676768e-01,-5.444628e-02
7.777778e-01,2.321953e-02
